claims,ipc_main,title,ipc_section,ipc_class,ipc_subclass
"종자 및 상기 종자를 처리하기 위한 처리용 액체를 수용할 수 있는 종자 수용부; 상기 종자 수용부 내부로 초음파를 인가하여 상기 종자의 표면에 부착되어 있는 불순물을 제거할 수 있는 초음파 인가부; 상기 종자 수용부 내부의 온도를 조절할 수 있는 온도 조절부; 상기 종자 수용부 내부로 에어(Air)를 공급할 수 있는 에어 공급부; 상기 종자 수용부 내부로 광을 조사할 수 있는 광 조사부; 및 상기 초음파 인가부, 상기 온도 조절부, 상기 에어 공급부 및 상기 광 조사부를 제어할 수 있는 컨트롤부를 포함하고, 상기 컨트롤부는 상기 종자의 종류에 따라 상기 초음파 인가부의 초음파의 진동수를 조절할 수 있고, 상기 광 조사부가 조사하는 광의 파장 및 조사 시간 중 하나 이상을 조절할 수 있으며, 상기 처리용 액체는 물(H2O), 지베렐린산(GA3), 폴리에틸렌글리콜(PEG), 질산칼륨(KNO3), 염화칼륨(KCl), 질산나트륨(NaNO3), 질산칼슘(Ca(NO3)2), 중수(dH2O) 및 황산칼륨(K2SO4) 중 어느 하나를 포함하는 것을 특징으로 하는, 프라이밍, 초음파 및 광을 이용한 종자 발아 향상 장치.",A01C-001/02,"프라이밍, 초음파 및 광을 이용한 종자 발아 향상 장치",A,A01,A01C
"트랙터에 연결되고 내부 양측에 두둑성형기가 설치된 함체와,상기 함체의 상면 중앙 부분에 설치되어 두둑의 중앙에 고랑을 형성하도록 구성되되, 전단부에 배토를 위한 배토성형부가 형성되고 상기 배토성형부의 후측으로 배토를 가이드하는 가이드패널부가 형성되는 배토수단과,상기 배토수단에 설치되되, 무한궤도 운동하는 이송수단에 일정간격으로 설치된 집게부를 통해 순차적으로 공급되는 고구마순을 파지하여 차례로 이송시키면서 상기 배토수단을 통해 형성된 고랑으로 고구마순을 순차적으로 낙하시켜 고구마순을 투입하는 고구마순파지투입수단을 포함하여 구성되되,상기 이송수단은 상단의 구동축에 결합되는 구동스프라켓과, 하단의 피동축에 결합된 피동스프라켓과, 상기 구동스프라켓과 피동스프라켓에 권취되어 무한궤도 운동하게 구성되는 체인으로 구성되고,상기 고구마순파지투입수단은, 상기 체인에 일정간격으로 설치되는 지지대와, 상기 지지대에 힌지 결합되어 지지대와 수평이 되게 펼쳐지거나 지지대에서 회동 접힘되게 구성되되, 후단에서 후측으로 라운드지게 회동판이 연장 형성되는 접힘대와, 상기 지지대와 접힘대 사이에 설치되어, 상기 접힘대가 지지대에서 회동되어 접힘되는 방향으로 탄성력을 가하게 구성되는 접힘스프링과, 상기 구동축과 피동축 사이의 상단부 전측으로 마련되어 상기 회동판이 외면에 걸림 회동되면서 외면을 따라 이동하게 함으로써 상기 지지대에 대해 접힘대가 회동되어 지지대와 수평되게 펼쳐진 상태가 유지되게 작동시키는 펼침작동판과, 상기 접힘대에 양측으로 회동 가능하게 힌지 결합되어 내부로 투입되는 고구마순을 파지하는 한쌍의 집게판과, 상기 한쌍의 집게판 사이에 설치되어 상기 한쌍의 집게판이 닫힘 상태를 유지하도록 탄성을 제공하는 닫힘스프링과, 상기 한쌍의 집게판 중 일측 집게판의 후단에서 외측 하방향으로 돌출 형성되는 제1열림작동편 및 상기 한쌍의 집게판 중 타측 집게판의 후단에서 외측 하방향으로 돌출 형성되는 제2열림작동편으로 구성되는 집게부와, 상기 펼침작동판의 전방으로 구성되되, 상기 체인을 따라 무한회전하는 상기 집게판의 제1열림작동편 및 제2열림작동편이 투입되면, 제1열림작동편 및 제2열림작동편이 눌림되면서 한쌍의 집게판이 회동되어, 집게판 내부로 고구마순을 투입할 수 있도록 집게판이 열림 상태가 유지되게 작동시키는 한쌍의 상부열림작동판과, 상기 피동축의 하측으로 라운드지게 형성되되, 상기 체인을 따라 무한회전하는 상기 집게판의 제1열림작동편 및 제2열림작동편이 투입되면, 제1열림작동편 및 제2열림작동편이 눌림되면서, 집게판 내부에 파지된 고구마순이 고랑으로 낙하되도록 집게판이 열림 상태가 유지되게 작동시키는 한쌍의 하부열림작동판을 포함하여 구성된 것을 특징으로 하는 고구마순 삽식기.",A01C-007/08,고구마순 삽식기,A,A01,A01C
"종자 및 상기 종자를 처리하기 위한 처리용 액체를 수용할 수 있는 종자 수용부; 상기 종자 수용부 내부로 초음파를 인가하여 상기 종자의 표면에 부착되어 있는 불순물을 제거할 수 있는 초음파 인가부; 상기 종자 수용부 내부의 온도를 조절할 수 있는 온도 조절부; 상기 종자 수용부 내부로 에어(Air)를 공급할 수 있는 에어 공급부; 상기 종자 수용부 내부로 광을 조사할 수 있는 광 조사부; 및 상기 초음파 인가부, 상기 온도 조절부, 상기 에어 공급부 및 상기 광 조사부를 제어할 수 있는 컨트롤부를 포함하고, 상기 종자 수용부는 상기 종자 및 상기 처리용 액체를 투입할 수 있도록 상부가 개방되고, 원통형의 용기 형상을 갖는 상부 본체; 상기 상부 본체의 하부에서 연장되어 아래로 갈수록 직경이 작아지고, 하부가 개방된 하부 본체; 및 상기 하부 본체의 하부에 결합되고 상기 하부 본체를 개폐할 수 있는 개폐 밸브를 포함하고, 상기 상부 본체와 상기 하부 본체의 내부에는 물이 순환할 수 있는 공간이 형성되어 있으며, 상기 컨트롤부는 상기 종자의 종류에 따라 상기 초음파 인가부의 초음파의 진동수를 조절할 수 있고, 상기 광 조사부가 조사하는 광의 파장 및 조사 시간 중 하나 이상을 조절할 수 있으며, 상기 처리용 액체는 물(H2O), 지베렐린산(GA3), 폴리에틸렌글리콜(PEG), 질산칼륨(KNO3), 염화칼륨(KCl), 질산나트륨(NaNO3), 질산칼슘(Ca(NO3)2), 중수(dH2O) 및 황산칼륨(K2SO4) 중 어느 하나를 포함하는 것을 특징으로 하는, 프라이밍, 초음파 및 광을 이용한 종자 발아 향상 장치.",A01C-001/02,"프라이밍, 초음파 및 광을 이용한 종자 발아 향상 장치",A,A01,A01C
콩 종자의 외피에 묻은 이물질을 제거하는 단계;상기 이물질이 제거된 콩 종자에 계면활성제 성분을 포함하는 디치오카바메이트계 조류기피제를 콩 종자 무게의 10~20 중량%로 혼합하여 콩 종자 표면을 코팅하는 단계;상기 조류 기피제 코팅층이 형성된 콩 종자에 철분을 콩 종자 무게의 35~45 중량%로 혼합하는 단계;상기 철분 혼합이 끝난 콩 종자에 소석고를 철분 무게의 5~15 중량%로 혼합하는 단계; 및상기 소석고 혼합이 끝난 콩 종자를 음지에서 건조하는 단계;를 포함하여 제조되는 것을 특징으로 하는 조류기피 효과 및 입모율이 향상된 코팅 콩 종자 제조방법.제7항의 제조방법에 의해 제조된 조류기피 효과 및 입모율이 향상된 코팅 콩 종자.,A01C-001/06,표면에 왁스층을 갖는 종자의 코팅 방법 및 상기 방법에 의해 제조된 코팅 종자,A,A01,A01C
"인삼 종자를 개갑하는 장치에 있어서,내부에 수용 공간이 형성되고, 개폐가 가능하도록 상부에 덮개부가 형성된 본체 용기;상기 수용 공간에 장착되고, 내부에 인삼 종자가 수납되는 수납부;상기 본체 용기에 내설되어, 외부의 물을 상기 수용 공간에 분사하는 물 분사부; 및상기 본체 용기에 장착되어, 외부의 공기를 상기 수용 공간에 분사하는 공기 분사부;를 포함하여 이루어지는 것을 특징으로 하는 인삼 종자 개갑 장치.",A01C-001/02,인삼 종자 개갑 장치,A,A01,A01C
"지면 아래 소정의 깊이에 설치되고 복수의 에어 포트와 연결되는 파이프;상기 파이프의 일단에 연결되고, 온도 조절되고 살균 소독된 에어를 상기 파이프를 통해 제공하기 위한 제 1 온실 제어기; 상기 파이프의 타단에 연결되고, 온도 조절되고 살균 소독된 에어를 상기 파이프를 통해 제공하기 위한 제 2 온실 제어기; 및상기 복수의 에어 포트를 통해 상기 제 1 및 제 2 온실 제어기에서 제공된 온도 조절되고 살균소독된 에어를 공급받고, 상기 공급된 에어는 에어 분출구를 통해 대기로 배출되는 온실을 포함하되,상기 제 1 및 제 2 온실 제어기 각각은 온도 조절을 위한 제 1 및 제 2 팬코일부와 살균 소독을 위한 제 1 및 제 2 살균소독부를 포함하고, 상기 제 1 팬코일부 또는 상기 제 1 살균소독부가 오동작 하는 경우에 상기 제 2 팬코일부 또는 상기 제 2 살균소독부가 동작하도록 제어하는 온실 제어 시스템.",A01G-009/24,이중 팬코일부 및 살균소독부를 포함하는 온실 제어 시스템,A,A01,A01G
"다수개로 분할된 프레임(10)은 연결브라켓(20)에 의해 연결 구성되고, 상기 각 프레임(10)의 내벽면에는 수목보호판(200)이 안착되도록 안착턱(11)이 형성된 수목 보호판 받침틀(100)에 있어서,상기 프레임(10) 저면에는 시공작업시 지면과의 지지 높이를 조절할 수 있도록 레벨링볼트(30)가 관통 체결되며;상기 프레임(10)에는 레벨링볼트(30)와 나사치합이 이루어지는 볼트체결구(12)가 구비되고;상기 레벨링볼트(30) 중단부에는 회동력 전달이 용이하게 이루어질 수 있도록 와셔너트(31)가 일체로 구성되며;상기 프레임(10) 내부에는 레벨링볼트(30)의 상단부를 일정 탄성력으로 지지하기 위한 탄성스프링(13)이 구비되고;상기 레벨링볼트(30) 하단부에는 지면과의 안정적인 지지가 이루어짐과 함께 2차적인 높이 조절이 가능하도록 레벨링볼트(30)와 나사치합을 위한 나사통공(41)이 수직방향으로 관통 형성된 조절구(40)가 체결되되, 상기 조절구(40)는 지면과의 마찰면적이 증대될 수 있도록 구형상을 이루는 것을 특징으로 하는 레벨링 조절이 용이한 수목 보호판 받침틀.",A01G-013/02,레벨링 조절이 용이한 수목 보호판 받침틀,A,A01,A01G
"직립되게 세워지는 고정프레임(10);상기 고정프레임(10)에 지지 고정되되, 상기 고정프레임(10)에 대하여 상대회동 가능하게 고정되는 회전축(20);상기 회전축(20)으로 회전력을 제공하되, 감속기(33)를 통해서 회전력을 감속 제공하여 상기 회전축(20)을 서서히 회전시키는 구동수단(30);상기 회전축(20)의 일단 또는 양단에 연결되어 상기 회전축(20)과 함께 회전하는 회전패널(40);상기 회전패널(40)에 연결되어 회전되되, 작물이 심어지는 다수의 작물 재배용 용기(1)를 결속하여 회전시켜 상기 용기(1)를 연속적으로 승·하강시키는 용기 회전수단(50); 및상기 구동수단(30)의 작동을 제어하는 컨트롤러(60);를 포함하여 구성되며,상기 구동수단(30)은 회전력을 제공하는 구동모터(31)와, 상기 구동모터(31)의 축(31a) 상에 형성되어 상기 구동모터(31)로부터 회전력을 공급받아 회전하는 제1기어(32)와, 상기 구동모터(31)로부터 공급되는 회전력을 감속하여 제공하는 감속기(33)와, 상기 감속기(33)의 유입 축(33a) 상에 형성되는 제2기어(34)와, 상기 제1기어(32)와 제2기어(34)를 연결하여 상기 구동모터(31)의 회전력을 상기 감속기(33)로 공급하는 제1연결체인(35)과, 상기 감속기(33)의 공급 축(33b) 상에 형성되는 제3기어(36)와, 상기 회전축(20) 상에 형성되어 상기 회전축(20)과 함께 회전하는 제4기어(37)와, 상기 제3기어(36)와 제4기어(37)를 연결하여 상기 감속기(33)로부터 공급되는 회전력을 상기 회전축(20)으로 공급하는 제2연결체인(38)을 포함하여 구성되되, 상기 구동모터(31)는 상기 컨트롤러(60)의 제어를 통해 작동하며,상기 용기 회전수단(50)은 일단은 상기 회전패널(40)과 결합 고정되며, 내부에는 다수의 연결구멍(51a)이 형성되는 것으로, 상기 회전패널(40)에 등각 간격으로 결합 고정되는 다수의 회전막대(51)와, 일단은 상기 회전막대(51)의 연결구멍(51a)에 관통되어 볼트(2) 결합되어 고정되며, 타단은 바깥쪽으로 돌출 형성되는 다수의 고정봉(52)과, 상기 고정봉(52)의 타단에 연결되어 상기 고정봉(52)에 대하여 상대회전 가능하게 연결 고정되되, 내부에는 환형의 안치홈(53a)이 형성되는 하나 이상의 V형 롤러(53)와, 상기 용기(1)에 결속 고정되되, 상기 V형 롤러(53)의 안치홈(53a)에 내입 고정되어 상기 V형 롤러(53)에 상기 용기(1)를 결속하는 결속로프(54)를 포함하여 구성되며,상기 회전막대(51)는 ㄷ 자 형상으로 길게 형성되어 상기 회전막대(51)에 상기 고정봉(52)과 V형 롤러(53)를 통해 거치되는 다수의 상기 용기(1)의 무게로 인해 변형되는 것을 안정적으로 방지하는 것을 특징으로 하는 기계식 회전 텃밭장치.",A01G-009/14,기계식 회전 텃밭장치,A,A01,A01G
"입체 구조로 직각으로 절곡된 2개의 직각면을 갖는 외측면(o1, o2)이 구비되고, 상기 외측면(o1, o2)의 양끝단에서 직각으로 절곡된 각각 직각면을 갖는 양측면(s1, s2)이 구비되며, 상기 양측면(s1, s2)의 끝단부에서 호형으로 곡면을 이루는 내측면(i)이 구비되고, 상기 내측면(i)의 중앙에 수목(1)을 지지하는 지지대(2)가 수용되고, 지지대(2)를 철거하면 내부에 토양이 유입되어 지면과 거의 동일 선상에 위치되어 보행자가 보행시 발이 걸려 넘어져 부상을 입는 것을 방지할 수 있고, 이물질 등이 투척되어 내부에 쌓이거나, 잡풀이 성장하는 것이 차단되어 미관을 저해하는 것을 방지할 수 있는 반원 구조의 지지대 홈(g)이 구비되며, 이웃하게 배치된 것끼리 양측면(s1, s2)이 서로 밀착 접면하여 다양한 형상의 프레임을 이루고, 상기 내측면(i)의 중앙부에 상기 지지대 홈(g)이 개방되고, 이웃하게 배치된 것끼리 양측면(s1, s2)이 서로 밀착 접면되면 수목(1)의 줄기가 수용되도록 수목 수용부가 구비되는 복수 개의 단일블럭;입체 구조로, 상기 단일블럭들 사이에 적어도 하나 이상 배치되어 상기 수목 수용부의 내경을 확장시키고, 외측면에서 내측면까지의 길이가 상기 단일블럭의 양측면(s1, s2)의 길이보다 짧게 형성되어 외측면을 상기 단일블럭의 외측면(o1, o2)에 정렬시켜 설치시 내측면은 단일블럭의 내측면(i)보다 수목 수용부의 반대방향으로 오목하게 들어간 함몰된 부위('A')가 형성되어 수목(1)을 지지하는 지지대(2)를 지지대 홈(g)에 설치하지 못하거나, 지지대(2)의 개수가 지지대 홈(g)보다 많이 설치되는 경우 단일블럭에 비해 외측방향으로 오목하게 함몰된 부위('A')에 지지대(2)를 추가 설치하는 것이 가능한 연결블럭;상기 단일블럭 및 연결블럭의 상부에는 백운석과 서문석 등 다양한 천연골재를 색소(착색제) 및 백시멘트를 넣어 혼합한 후 충분히 양생시킨 후 브러쉬로 가공하여 형성되며, 야간에 식별이 용이하도록 야광물질이 포함된 유색층을 포함하되,상기 단일블럭과 연결블럭은 일정한 강성과 하중을 유지시켜 외부 충격에 쉽게 파손되지 않으면서 지면으로부터 쉽게 들뜨는 것을 방지할 수 있도록 콘크리트 배합으로 이루어진 하부층과, 상기 하부층의 상부에 적층되되 화강석 파쇄분, 콩자갈 및 규사석의 재활용 자재를 혼합하여 제작된 상부층을 포함하는 것을 특징으로 하는 수목 보호 블럭.",A01G-013/02,수목 보호 블럭,A,A01,A01G
"온실이나 비닐하우스 등의 시설 상단에 걸기 위한 걸이부와, 상기 걸이부의 양 단부로부터 수평방향으로 연장하여 형성된 걸림부와, 상기 걸림부로부터 하향으로 연장하여 형성된 수직부, 상기 수직부로부터 내측으로 연장하여 형성된 축부로 이루어진 고정고리; 및 상기 고정고리에 회전 가능하게 결합되는 회전드럼;으로 이루어지며,상기 회전드럼은, 유인줄이 권취되는 권취부와 상기 권취부의 양 단부에 형성된 가이드판으로 이루어지고,상기 가이드판의 측면에는 상기 축부가 삽입되어 상기 회전드럼의 회전에 따라 이동할 수 있는 가이드홈이 형성되고, 상기 가이드판의 외주면에는 상기 걸림부가 걸릴 경우 상기 회전드럼의 회전을 멈추게 하는 스톱퍼가 돌출하여 형성된 것을 특징으로 하는 유인줄 길이 조절장치.",A01G-009/24,유인줄 길이 조절장치,A,A01,A01G
